Name,Handedness,Height (inches),Height (m),Weight (pounds),Weight (kg),AVG,Home Runs,BMI,Rounded BMI,BMI Category,Average Home Runs
Chris Chambliss,L,73,1.8542,195,88.45044,0.279,185,25.72686361,26,Overweight,0
Joe Rudi,R,74,1.8796,200,90.7184,0.264,179,25.67819599,26,Overweight,0
Jim Ray Hart,R,71,1.8034,185,83.91452,0.278,170,25.80197702,26,Overweight,0
Claudell Washington,L,72,1.8288,190,86.18248,0.278,164,25.76834706,26,Overweight,0
Bill Melton,R,74,1.8796,200,90.7184,0.253,160,25.67819599,26,Overweight,0
Dan Driessen,L,71,1.8034,187,84.821704,0.267,153,26.08091731,26,Overweight,0
Jeffrey Leonard,R,74,1.8796,200,90.7184,0.266,144,25.67819599,26,Overweight,0
Steve Kemp,L,72,1.8288,195,88.45044,0.278,130,26.44646146,26,Overweight,0
Aurelio Rodriguez,R,70,1.778,180,81.64656,0.237,124,25.82702472,26,Overweight,0
Joe Ferguson,R,74,1.8796,200,90.7184,0.24,122,25.67819599,26,Overweight,0
Gary Roenicke,R,75,1.905,205,92.98636,0.247,121,25.62295933,26,Overweight,0
Keith Moreland,R,72,1.8288,190,86.18248,0.279,121,25.76834706,26,Overweight,0
Ed Kranepool,L,75,1.905,205,92.98636,0.261,118,25.62295933,26,Overweight,0
Mike Easler,L,72,1.8288,190,86.18248,0.293,118,25.76834706,26,Overweight,0
Rick Reichardt,R,75,1.905,210,95.25432,0.261,116,26.24790956,26,Overweight,0
Bob Robertson,R,73,1.8542,195,88.45044,0.242,115,25.72686361,26,Overweight,0
Greg Walker,L,75,1.905,205,92.98636,0.26,113,25.62295933,26,Overweight,0
Thurman Munson,R,71,1.8034,190,86.18248,0.292,113,26.49932775,26,Overweight,0
Max Alvis,R,71,1.8034,185,83.91452,0.247,111,25.80197702,26,Overweight,0
Al Cowens,R,73,1.8542,197,89.357624,0.27,108,25.99072888,26,Overweight,0
Steve Yeager,R,72,1.8288,190,86.18248,0.228,102,25.76834706,26,Overweight,0
Eric Soderholm,R,71,1.8034,187,84.821704,0.264,102,26.08091731,26,Overweight,0
Jim Sundberg,R,72,1.8288,190,86.18248,0.248,95,25.76834706,26,Overweight,0
Mike Jorgensen,L,72,1.8288,195,88.45044,0.243,95,26.44646146,26,Overweight,0
Bob Oliver,R,75,1.905,205,92.98636,0.256,94,25.62295933,26,Overweight,0
Bo Diaz,R,71,1.8034,185,83.91452,0.255,87,25.80197702,26,Overweight,0
John Wockenfuss,R,72,1.8288,190,86.18248,0.262,86,25.76834706,26,Overweight,0
Willie Crawford,L,73,1.8542,197,89.357624,0.268,86,25.99072888,26,Overweight,0
Tom Paciorek,R,76,1.9304,215,97.52228,0.282,86,26.17033177,26,Overweight,0
Jerry Martin,R,73,1.8542,195,88.45044,0.251,85,25.72686361,26,Overweight,0
Mike Ivie,R,75,1.905,205,92.98636,0.269,81,25.62295933,26,Overweight,0
John Bateman,R,75,1.905,210,95.25432,0.23,81,26.24790956,26,Overweight,0
Ed Herrmann,L,73,1.8542,195,88.45044,0.24,80,25.72686361,26,Overweight,0
Dick Green,R,70,1.778,180,81.64656,0.24,80,25.82702472,26,Overweight,0
Mike Hargrove,L,72,1.8288,195,88.45044,0.29,80,26.44646146,26,Overweight,0
Leroy Stanton,R,73,1.8542,195,88.45044,0.244,77,25.72686361,26,Overweight,0
Milt May,L,72,1.8288,190,86.18248,0.263,77,25.76834706,26,Overweight,0
Tim Laudner,R,75,1.905,212,96.161504,0.225,77,26.49788965,26,Overweight,0
Tony Horton,R,75,1.905,210,95.25432,0.268,76,26.24790956,26,Overweight,0
Ralph Garr,L,71,1.8034,185,83.91452,0.306,75,25.80197702,26,Overweight,0
Andy Kosco,R,75,1.905,205,92.98636,0.236,73,25.62295933,26,Overweight,0
Mitchell Page,L,74,1.8796,205,92.98636,0.266,72,26.32015089,26,Overweight,0
Floyd Robinson,L,69,1.7526,175,79.3786,0.283,67,25.84269609,26,Overweight,0
Dick Dietz,R,73,1.8542,195,88.45044,0.261,66,25.72686361,26,Overweight,0
Joe Lahoud,L,73,1.8542,198,89.811216,0.223,65,26.12266152,26,Overweight,0
Manny Sanguillen,R,72,1.8288,193,87.543256,0.296,65,26.1752157,26,Overweight,0
Dave Revering,L,76,1.9304,210,95.25432,0.265,62,25.56171941,26,Overweight,0
Bill Schroeder,R,74,1.8796,200,90.7184,0.24,61,25.67819599,26,Overweight,0
Barry Foote,R,75,1.905,205,92.98636,0.23,57,25.62295933,26,Overweight,0
Clay Dalrymple,L,72,1.8288,190,86.18248,0.233,55,25.76834706,26,Overweight,0
Al Bumbry,L,68,1.7272,170,77.11064,0.281,54,25.84812523,26,Overweight,0
Champ Summers,L,74,1.8796,205,92.98636,0.255,54,26.32015089,26,Overweight,0
Ron Blomberg,L,73,1.8542,195,88.45044,0.293,52,25.72686361,26,Overweight,0
Steve Braun,L,70,1.778,180,81.64656,0.271,52,25.82702472,26,Overweight,0
Al Ferrara,R,73,1.8542,200,90.7184,0.259,51,26.38652678,26,Overweight,0
Joe Azcue,R,72,1.8288,190,86.18248,0.252,50,25.76834706,26,Overweight,0
Bill Sample,R,69,1.7526,175,79.3786,0.272,46,25.84269609,26,Overweight,0
Craig Kusick,R,75,1.905,210,95.25432,0.235,46,26.24790956,26,Overweight,0
Walt Bond,L,79,2.0066,228,103.418976,0.256,41,25.68494366,26,Overweight,0
Joe Hague,L,72,1.8288,195,88.45044,0.239,40,26.44646146,26,Overweight,0
Wayne Nordhagen,R,74,1.8796,205,92.98636,0.282,39,26.32015089,26,Overweight,0
Mickey Hatcher,R,74,1.8796,200,90.7184,0.28,38,25.67819599,26,Overweight,0
Luis Aguayo,R,69,1.7526,173,78.471416,0.236,37,25.54735099,26,Overweight,0
Len Gabrielson,L,76,1.9304,210,95.25432,0.253,37,25.56171941,26,Overweight,0
Dave Hostetler,R,76,1.9304,215,97.52228,0.229,37,26.17033177,26,Overweight,0
R.J. Reynolds,B,72,1.8288,190,86.18248,0.267,35,25.76834706,26,Overweight,0
Marc Hill,R,75,1.905,205,92.98636,0.223,34,25.62295933,26,Overweight,0
Terry Whitfield,L,73,1.8542,197,89.357624,0.281,33,25.99072888,26,Overweight,0
Mickey Brantley,R,70,1.778,180,81.64656,0.259,32,25.82702472,26,Overweight,0
Dave Engle,R,75,1.905,210,95.25432,0.262,31,26.24790956,26,Overweight,0
Steve Brye,R,72,1.8288,190,86.18248,0.258,30,25.76834706,26,Overweight,0
Jim Gosger,L,71,1.8034,185,83.91452,0.226,30,25.80197702,26,Overweight,0
Charlie James,R,73,1.8542,195,88.45044,0.255,29,25.72686361,26,Overweight,0
Larry Biittner,L,74,1.8796,205,92.98636,0.273,29,26.32015089,26,Overweight,0
Joe Charboneau,R,74,1.8796,205,92.98636,0.266,29,26.32015089,26,Overweight,0
Mike Anderson,R,74,1.8796,200,90.7184,0.246,28,25.67819599,26,Overweight,0
Mike Ryan,R,74,1.8796,205,92.98636,0.193,28,26.32015089,26,Overweight,0
Danny Walton,R,72,1.8288,195,88.45044,0.223,28,26.44646146,26,Overweight,0
Pete LaCock,L,74,1.8796,200,90.7184,0.257,27,25.67819599,26,Overweight,0
Bob Kearney,R,72,1.8288,190,86.18248,0.233,27,25.76834706,26,Overweight,0
Jim Traber,L,72,1.8288,194,87.996848,0.227,27,26.31083858,26,Overweight,0
Chris Bando,B,72,1.8288,195,88.45044,0.227,27,26.44646146,26,Overweight,0
Bob Coluccio,R,71,1.8034,183,83.007336,0.22,26,25.52303672,26,Overweight,0
Bruce Bochy,R,75,1.905,205,92.98636,0.239,26,25.62295933,26,Overweight,0
John Boccabella,R,73,1.8542,195,88.45044,0.219,26,25.72686361,26,Overweight,0
Jesse Gonder,L,70,1.778,180,81.64656,0.251,26,25.82702472,26,Overweight,0
Jose Morales,R,71,1.8034,187,84.821704,0.287,26,26.08091731,26,Overweight,0
Bill Nahorodny,R,74,1.8796,200,90.7184,0.241,25,25.67819599,26,Overweight,0
Jerry Moses,R,75,1.905,210,95.25432,0.251,25,26.24790956,26,Overweight,0
Ken Gerhart,R,72,1.8288,190,86.18248,0.221,24,25.76834706,26,Overweight,0
Hal King,L,73,1.8542,200,90.7184,0.214,24,26.38652678,26,Overweight,0
Bob Montgomery,R,73,1.8542,195,88.45044,0.258,23,25.72686361,26,Overweight,0
Duane Josephson,R,72,1.8288,190,86.18248,0.258,23,25.76834706,26,Overweight,0
Angel Mangual,R,70,1.778,178,80.739376,0.245,22,25.54005777,26,Overweight,0
Roger Freed,R,72,1.8288,190,86.18248,0.245,22,25.76834706,26,Overweight,0
Jerry Buchek,R,71,1.8034,185,83.91452,0.22,22,25.80197702,26,Overweight,0
Jerry Narron,L,75,1.905,205,92.98636,0.211,21,25.62295933,26,Overweight,0
Hal Breeden,R,74,1.8796,200,90.7184,0.243,21,25.67819599,26,Overweight,0
Dick Nen,L,74,1.8796,200,90.7184,0.224,21,25.67819599,26,Overweight,0
Dave McKay,B,73,1.8542,195,88.45044,0.229,21,25.72686361,26,Overweight,0
John Wathan,R,74,1.8796,205,92.98636,0.262,21,26.32015089,26,Overweight,0
Ike Brown,R,72,1.8288,190,86.18248,0.256,20,25.76834706,26,Overweight,0
Billy North,B,71,1.8034,185,83.91452,0.261,20,25.80197702,26,Overweight,0
Rich McKinney,R,71,1.8034,185,83.91452,0.225,20,25.80197702,26,Overweight,0
Fran Healy,R,77,1.9558,220,99.79024,0.25,20,26.08790375,26,Overweight,0
Steve Swisher,R,74,1.8796,205,92.98636,0.216,20,26.32015089,26,Overweight,0
Bobby Clark,R,72,1.8288,190,86.18248,0.239,19,25.76834706,26,Overweight,0
Gary Allenson,R,71,1.8034,185,83.91452,0.221,19,25.80197702,26,Overweight,0
Chris Cannizzaro,R,72,1.8288,190,86.18248,0.235,18,25.76834706,26,Overweight,0
Jim Price,R,72,1.8288,192,87.089664,0.214,18,26.03959282,26,Overweight,0
Rick Bosetti,R,71,1.8034,185,83.91452,0.25,17,25.80197702,26,Overweight,0
Bob Brower,R,71,1.8034,185,83.91452,0.242,17,25.80197702,26,Overweight,0
Ted Ford,R,70,1.778,180,81.64656,0.219,17,25.82702472,26,Overweight,0
Glenn Borgmann,R,76,1.9304,210,95.25432,0.229,16,25.56171941,26,Overweight,0
Dick Billings,R,73,1.8542,195,88.45044,0.227,16,25.72686361,26,Overweight,0
Ellie Rodriguez,R,71,1.8034,185,83.91452,0.245,16,25.80197702,26,Overweight,0
Denny Doyle,L,69,1.7526,175,79.3786,0.25,16,25.84269609,26,Overweight,0
Bob Molinaro,L,72,1.8288,190,86.18248,0.264,14,25.76834706,26,Overweight,0
Johnny Oates,L,71,1.8034,188,85.275296,0.25,14,26.22038745,26,Overweight,0
Steve Carlton,L,76,1.9304,210,95.25432,0.201,13,25.56171941,26,Overweight,0
Danny Goodwin,L,73,1.8542,195,88.45044,0.236,13,25.72686361,26,Overweight,0
Roberto Pena,R,68,1.7272,170,77.11064,0.245,13,25.84812523,26,Overweight,0
Kevin Bell,R,72,1.8288,195,88.45044,0.222,13,26.44646146,26,Overweight,0
Larry Cox,R,70,1.778,178,80.739376,0.221,12,25.54005777,26,Overweight,0
Tom Seaver,R,73,1.8542,195,88.45044,0.154,12,25.72686361,26,Overweight,0
Alan Knicely,R,72,1.8288,190,86.18248,0.213,12,25.76834706,26,Overweight,0
Rich Coggins,L,68,1.7272,170,77.11064,0.265,12,25.84812523,26,Overweight,0
Carl Taylor,R,74,1.8796,200,90.7184,0.266,10,25.67819599,26,Overweight,0
Bill Sharp,L,70,1.778,178,80.739376,0.255,9,25.54005777,26,Overweight,0
Rick Sofield,L,73,1.8542,195,88.45044,0.243,9,25.72686361,26,Overweight,0
Dave McNally,R,71,1.8034,185,83.91452,0.133,9,25.80197702,26,Overweight,0
Russ Gibson,R,73,1.8542,195,88.45044,0.228,8,25.72686361,26,Overweight,0
Sal Butera,R,72,1.8288,190,86.18248,0.227,8,25.76834706,26,Overweight,0
Broderick Perkins,L,70,1.778,180,81.64656,0.271,8,25.82702472,26,Overweight,0
Jeff Torborg,R,72,1.8288,195,88.45044,0.214,8,26.44646146,26,Overweight,0
Junior Moore,R,71,1.8034,185,83.91452,0.264,7,25.80197702,26,Overweight,0
Lynn Jones,R,69,1.7526,175,79.3786,0.252,7,25.84269609,26,Overweight,0
Sandy Valdespino,L,68,1.7272,170,77.11064,0.23,7,25.84812523,26,Overweight,0
Jim Rooker,R,72,1.8288,195,88.45044,0.201,7,26.44646146,26,Overweight,0
Tucker Ashford,R,73,1.8542,195,88.45044,0.218,6,25.72686361,26,Overweight,0
Catfish Hunter,R,72,1.8288,190,86.18248,0.226,6,25.76834706,26,Overweight,0
Hank Allen,R,72,1.8288,190,86.18248,0.241,6,25.76834706,26,Overweight,0
Frank Tepedino,L,71,1.8034,185,83.91452,0.241,6,25.80197702,26,Overweight,0
Mike Squires,L,71,1.8034,185,83.91452,0.26,6,25.80197702,26,Overweight,0
Rick Sweet,B,73,1.8542,200,90.7184,0.234,6,26.38652678,26,Overweight,0
Ken Suarez,R,69,1.7526,175,79.3786,0.227,5,25.84269609,26,Overweight,0
Andy Messersmith,R,73,1.8542,200,90.7184,0.17,5,26.38652678,26,Overweight,0
Steve Barber,L,72,1.8288,195,88.45044,0.115,5,26.44646146,26,Overweight,0
Vida Blue,B,72,1.8288,189,85.728888,0.104,4,25.63272418,26,Overweight,0
Larry Dierker,R,76,1.9304,215,97.52228,0.136,4,26.17033177,26,Overweight,0
Dave Skaggs,R,74,1.8796,200,90.7184,0.241,3,25.67819599,26,Overweight,0
Onix Concepcion,R,66,1.6764,160,72.57472,0.239,3,25.82438957,26,Overweight,0
Ron Brand,R,67,1.7018,167,75.749864,0.239,3,26.15560794,26,Overweight,0
Skip Jutze,R,71,1.8034,190,86.18248,0.215,3,26.49932775,26,Overweight,0
Jerry Koosman,R,74,1.8796,205,92.98636,0.119,2,26.32015089,26,Overweight,0
Glenn Burke,R,72,1.8288,195,88.45044,0.237,2,26.44646146,26,Overweight,0
Jim Barr,R,75,1.905,205,92.98636,0.162,1,25.62295933,26,Overweight,0
Luis Encarnacion,R,70,1.778,178,80.739376,0,0,25.54005777,26,Overweight,0
Mike Loynd,R,76,1.9304,210,95.25432,0,0,25.56171941,26,Overweight,0
Bill Moran,R,76,1.9304,210,95.25432,0,0,25.56171941,26,Overweight,0
Bob Kammeyer,R,76,1.9304,210,95.25432,0,0,25.56171941,26,Overweight,0
Mike Parrott,R,76,1.9304,210,95.25432,0,0,25.56171941,26,Overweight,0
Al Jones,R,76,1.9304,210,95.25432,0,0,25.56171941,26,Overweight,0
John Trautwein,R,75,1.905,205,92.98636,0,0,25.62295933,26,Overweight,0
Andy Beene,R,75,1.905,205,92.98636,0,0,25.62295933,26,Overweight,0
Gary Wheelock,R,75,1.905,205,92.98636,0,0,25.62295933,26,Overweight,0
Frank Dimichele,R,75,1.905,205,92.98636,0,0,25.62295933,26,Overweight,0
Don Kainer,R,75,1.905,205,92.98636,0,0,25.62295933,26,Overweight,0
Larry Pashnick,R,75,1.905,205,92.98636,0,0,25.62295933,26,Overweight,0
Steve Burke,B,74,1.8796,200,90.7184,0,0,25.67819599,26,Overweight,0
Steve Cummings,B,74,1.8796,200,90.7184,0,0,25.67819599,26,Overweight,0
Paul Boris,R,74,1.8796,200,90.7184,0,0,25.67819599,26,Overweight,0
John Leister,R,74,1.8796,200,90.7184,0,0,25.67819599,26,Overweight,0
Jerry Ujdur,R,73,1.8542,195,88.45044,0,0,25.72686361,26,Overweight,0
Paul Mitchell,R,73,1.8542,195,88.45044,0,0,25.72686361,26,Overweight,0
Chuck Hockenbery,B,73,1.8542,195,88.45044,0,0,25.72686361,26,Overweight,0
Jim Farr,R,73,1.8542,195,88.45044,0,0,25.72686361,26,Overweight,0
Steve Davis,L,73,1.8542,195,88.45044,0,0,25.72686361,26,Overweight,0
Sandy Wihtol,R,73,1.8542,195,88.45044,0,0,25.72686361,26,Overweight,0
Kevin Stanfield,L,72,1.8288,190,86.18248,0,0,25.76834706,26,Overweight,0
Bob Didier,B,72,1.8288,190,86.18248,0.229,0,25.76834706,26,Overweight,0
Mel Stottlemyre,R,72,1.8288,190,86.18248,0,0,25.76834706,26,Overweight,0
Tom Makowski,R,71,1.8034,185,83.91452,0,0,25.80197702,26,Overweight,0
Joe Pactwa,L,71,1.8034,185,83.91452,0,0,25.80197702,26,Overweight,0
Gary Ignasiak,R,71,1.8034,185,83.91452,0,0,25.80197702,26,Overweight,0
Chico Escarrega,R,71,1.8034,185,83.91452,0,0,25.80197702,26,Overweight,0
Frank Eufemia,R,71,1.8034,185,83.91452,0,0,25.80197702,26,Overweight,0
Allan Ramirez,R,70,1.778,180,81.64656,0,0,25.82702472,26,Overweight,0
Ben Callahan,R,79,2.0066,230,104.32616,0,0,25.91025019,26,Overweight,0
Mick Kelleher,R,69,1.7526,176,79.832192,0.213,0,25.99036864,26,Overweight,0
Cardell Camper,R,75,1.905,208,94.347136,0,0,25.99792947,26,Overweight,0
Rick Henninger,R,78,1.9812,225,102.0582,0,0,26.00107271,26,Overweight,0
Bob Ferris,R,78,1.9812,225,102.0582,0,0,26.00107271,26,Overweight,0
Kevin Mmahat,L,77,1.9558,220,99.79024,0,0,26.08790375,26,Overweight,0
Curt Wardle,L,77,1.9558,220,99.79024,0,0,26.08790375,26,Overweight,0
Mark Mercer,L,77,1.9558,220,99.79024,0,0,26.08790375,26,Overweight,0
Randy Nosek,R,76,1.9304,215,97.52228,0,0,26.17033177,26,Overweight,0
Bobby Cuellar,R,71,1.8034,188,85.275296,0,0,26.22038745,26,Overweight,0
Bud Anderson,R,75,1.905,210,95.25432,0,0,26.24790956,26,Overweight,0
Jeff Jones,R,75,1.905,210,95.25432,0,0,26.24790956,26,Overweight,0
Steve Senteney,R,74,1.8796,205,92.98636,0,0,26.32015089,26,Overweight,0
Mike Willis,L,74,1.8796,205,92.98636,0,0,26.32015089,26,Overweight,0
Matt Williams,R,73,1.8542,200,90.7184,0,0,26.38652678,26,Overweight,0
Dan Morogiello,L,73,1.8542,200,90.7184,0,0,26.38652678,26,Overweight,0
Ralph Botting,L,72,1.8288,195,88.45044,0,0,26.44646146,26,Overweight,0
Howard Bailey,R,72,1.8288,195,88.45044,0,0,26.44646146,26,Overweight,0
Mike Paxton,R,71,1.8034,190,86.18248,0,0,26.49932775,26,Overweight,0
Ron Cey,R,70,1.778,185,83.91452,0.261,316,26.54444207,27,Overweight,62.37288136
Gorman Thomas,R,74,1.8796,210,95.25432,0.225,268,26.96210579,27,Overweight,0
John Mayberry,L,75,1.905,215,97.52228,0.253,255,26.87285979,27,Overweight,0
Joe Torre,R,74,1.8796,212,96.161504,0.297,252,27.21888775,27,Overweight,0
Ted Simmons,B,71,1.8034,193,87.543256,0.285,248,26.91773818,27,Overweight,0
Bob Watson,R,72,1.8288,201,91.171992,0.295,184,27.26019873,27,Overweight,0
Pete Rose,B,71,1.8034,192,87.089664,0.303,160,26.77826804,27,Overweight,0
Doug Rader,R,74,1.8796,208,94.347136,0.251,155,26.70532383,27,Overweight,0
Earl Williams,R,75,1.905,215,97.52228,0.247,138,26.87285979,27,Overweight,0
Tommie Agee,R,71,1.8034,195,88.45044,0.255,130,27.19667848,27,Overweight,0
Wayne Gross,L,74,1.8796,210,95.25432,0.233,121,26.96210579,27,Overweight,0
Willie Aikens,L,75,1.905,220,99.79024,0.271,110,27.49781002,27,Overweight,0
Dave May,L,70,1.778,186,84.368112,0.251,96,26.68792554,27,Overweight,0
Bob Brenly,R,74,1.8796,210,95.25432,0.247,91,26.96210579,27,Overweight,0
Ed Kirkpatrick,L,71,1.8034,195,88.45044,0.238,85,27.19667848,27,Overweight,0
Johnny Edwards,L,76,1.9304,220,99.79024,0.242,81,26.77894414,27,Overweight,0
Rich Rollins,R,70,1.778,185,83.91452,0.269,77,26.54444207,27,Overweight,0
Merv Rettenmund,R,70,1.778,190,86.18248,0.271,66,27.26185942,27,Overweight,0
Charlie Spikes,R,75,1.905,215,97.52228,0.246,65,26.87285979,27,Overweight,0
Ron LeFlore,R,72,1.8288,200,90.7184,0.288,59,27.12457585,27,Overweight,0
Buck Martinez,R,70,1.778,190,86.18248,0.225,58,27.26185942,27,Overweight,0
Ron Jackson,R,72,1.8288,200,90.7184,0.259,56,27.12457585,27,Overweight,0
Dave Roberts,R,75,1.905,215,97.52228,0.239,49,26.87285979,27,Overweight,0
Jerry Turner,L,69,1.7526,180,81.64656,0.257,45,26.58105883,27,Overweight,0
John Orsino,R,75,1.905,215,97.52228,0.249,40,26.87285979,27,Overweight,0
Jerry Grote,R,70,1.778,185,83.91452,0.252,39,26.54444207,27,Overweight,0
Brant Alyea,R,75,1.905,215,97.52228,0.247,38,26.87285979,27,Overweight,0
Floyd Rayford,R,70,1.778,190,86.18248,0.244,38,27.26185942,27,Overweight,0
Walt Williams,R,66,1.6764,165,74.84268,0.27,33,26.63140175,27,Overweight,0
Ed Ott,L,70,1.778,190,86.18248,0.259,33,27.26185942,27,Overweight,0
Leron Lee,L,72,1.8288,196,88.904032,0.25,31,26.58208434,27,Overweight,0
Vic Correll,R,70,1.778,185,83.91452,0.229,29,26.54444207,27,Overweight,0
George Vukovich,L,72,1.8288,198,89.811216,0.268,27,26.8533301,27,Overweight,0
Norm Miller,L,70,1.778,185,83.91452,0.238,24,26.54444207,27,Overweight,0
Tom Egan,R,76,1.9304,218,98.883056,0.2,22,26.53549919,27,Overweight,0
Carmen Fanzone,R,72,1.8288,200,90.7184,0.224,20,27.12457585,27,Overweight,0
Doug Camilli,R,71,1.8034,195,88.45044,0.199,18,27.19667848,27,Overweight,0
Chuck Harrison,R,70,1.778,185,83.91452,0.238,17,26.54444207,27,Overweight,0
Steve Huntz,B,73,1.8542,204,92.532768,0.206,16,26.91425732,27,Overweight,0
Bobby Valentine,R,70,1.778,189,85.728888,0.26,12,27.11837595,27,Overweight,0
Steve Nicosia,R,70,1.778,185,83.91452,0.248,11,26.54444207,27,Overweight,0
Bombo Rivera,R,70,1.778,187,84.821704,0.265,10,26.83140901,27,Overweight,0
Dick Bertell,R,72,1.8288,200,90.7184,0.25,10,27.12457585,27,Overweight,0
Steve Hovley,L,70,1.778,188,85.275296,0.258,8,26.97489248,27,Overweight,0
Bill Fahey,L,72,1.8288,200,90.7184,0.241,7,27.12457585,27,Overweight,0
Carl Morton,R,72,1.8288,200,90.7184,0.156,7,27.12457585,27,Overweight,0
Jim Fairey,L,70,1.778,190,86.18248,0.235,7,27.26185942,27,Overweight,0
Dave Hilton,R,71,1.8034,191,86.636072,0.213,6,26.63879789,27,Overweight,0
Steve Renko,R,77,1.9558,230,104.32616,0.215,6,27.27371756,27,Overweight,0
Jim French,L,68,1.7272,180,81.64656,0.196,5,27.36860318,27,Overweight,0
Ray Culp,R,72,1.8288,200,90.7184,0.123,1,27.12457585,27,Overweight,0
Willie Mueller,R,76,1.9304,220,99.79024,0,0,26.77894414,27,Overweight,0
Stefan Wever,R,80,2.032,245,111.13004,0,0,26.91436039,27,Overweight,0
Rick Anderson,R,74,1.8796,210,95.25432,0,0,26.96210579,27,Overweight,0
Terry Wilshusen,R,74,1.8796,210,95.25432,0,0,26.96210579,27,Overweight,0
Bob Galasso,L,73,1.8542,205,92.98636,0,0,27.04618995,27,Overweight,0
Bryan Clutterbuck,R,76,1.9304,223,101.151016,0,0,27.14411156,27,Overweight,0
Dave Frost,R,78,1.9812,235,106.59412,0,0,27.15667594,27,Overweight,0
Bruce Tanner,L,75,1.905,220,99.79024,0,0,27.49781002,27,Overweight,0
Boog Powell,L,76,1.9304,230,104.32616,0.266,339,27.99616887,28,Overweight,68.2
Steve Garvey,R,70,1.778,192,87.089664,0.294,272,27.54882636,28,Overweight,0
Ken Phelps,L,73,1.8542,209,94.800728,0.239,123,27.57392049,28,Overweight,0
Carlos May,L,71,1.8034,200,90.7184,0.274,90,27.89402921,28,Overweight,0
Alex Johnson,R,72,1.8288,205,92.98636,0.288,78,27.80269025,28,Overweight,0
Lamar Johnson,R,74,1.8796,215,97.52228,0.287,64,27.60406069,28,Overweight,0
Jeff Newman,R,74,1.8796,215,97.52228,0.224,63,27.60406069,28,Overweight,0
Pat Putnam,L,72,1.8288,205,92.98636,0.255,63,27.80269025,28,Overweight,0
Ray Fosse,R,74,1.8796,215,97.52228,0.256,61,27.60406069,28,Overweight,0
Dave Nicholson,R,74,1.8796,215,97.52228,0.212,61,27.60406069,28,Overweight,0
Tony Solaita,L,72,1.8288,210,95.25432,0.255,50,28.48080465,28,Overweight,0
Mark Brouhard,R,73,1.8542,210,95.25432,0.259,25,27.70585312,28,Overweight,0
Gail Hopkins,L,70,1.778,198,89.811216,0.266,25,28.40972719,28,Overweight,0
Doc Edwards,R,74,1.8796,215,97.52228,0.238,15,27.60406069,28,Overweight,0
Don Leppert,R,74,1.8796,220,99.79024,0.229,15,28.24601559,28,Overweight,0
Tony Cloninger,R,72,1.8288,210,95.25432,0.192,11,28.48080465,28,Overweight,0
Mike Brumley,L,70,1.778,195,88.45044,0.229,5,27.97927677,28,Overweight,0
Burt Hooton,R,73,1.8542,210,95.25432,0.123,4,27.70585312,28,Overweight,0
Mark Smith,R,74,1.8796,215,97.52228,0,0,27.60406069,28,Overweight,0
Jack Lazorko,R,71,1.8034,200,90.7184,0,0,27.89402921,28,Overweight,0
